method=POST, uri=/api/catalog, status=500,latency:138809
method=POST, uri=/api/catalog, status=500,latency:38208
method=POST, uri=/api/catalog, status=500,latency:125694
method=POST, uri=/api/catalog, status=500,latency:40356
method=POST, uri=/api/catalog, status=500,latency:38737
method=POST, uri=/api/catalog, status=200,latency:1093279664
method=POST, uri=/api/catalog, status=500,latency:98790525
method=POST, uri=/api/catalog, status=500,latency:100052349
method=POST, uri=/api/catalog, status=500,latency:98333920
method=POST, uri=/api/catalog, status=200,latency:208821285
method=PUT, uri=/api/catalog/test, status=200,latency:737570797
method=PUT, uri=/api/catalog/test, status=200,latency:720789623
method=PUT, uri=/api/catalog/test, status=200,latency:753629071
method=PUT, uri=/api/catalog/test, status=200,latency:100775160
method=PUT, uri=/api/catalog/test, status=200,latency:759063634
method=GET, uri=/api/catalog?Id=5ed5831ba9de42de4423df36, status=200,latency:101032175
method=PUT, uri=/api/catalog/test, status=200,latency:97509396
method=PUT, uri=/api/catalog/test, status=200,latency:738509176
method=PUT, uri=/api/catalog/test, status=200,latency:751447209
