method=POST, uri=/api/employee/prueba, status=200,latency:888640814
method=POST, uri=/api/employee/prueba, status=200,latency:748968491
method=POST, uri=/api/employee?Id=5ecfdac781f8c4a1a33de9e5, status=500,latency:1454714953
method=POST, uri=/api/employee?Id=5ecfdac781f8c4a1a33de9e5, status=500,latency:979208323
method=POST, uri=/api/employee?Id=5ecfdac781f8c4a1a33de9e5, status=500,latency:198888548
method=GET, uri=/api/employee?Id=5ecfdac781f8c4a1a33de9e5, status=200,latency:98932490
method=POST, uri=/api/employee/prueba, status=200,latency:750799538
method=POST, uri=/api/employee, status=200,latency:823974873
method=POST, uri=/api/employee, status=500,latency:123578
method=POST, uri=/api/employee, status=500,latency:72491
method=POST, uri=/api/employee, status=500,latency:55779
method=POST, uri=/api/employee, status=200,latency:858001458
method=POST, uri=/api/employee, status=500,latency:121015
method=POST, uri=/api/employee, status=500,latency:36981
method=POST, uri=/api/employee, status=500,latency:36410
method=POST, uri=/api/employee, status=500,latency:39301
method=POST, uri=/api/employee, status=500,latency:97536
method=POST, uri=/api/employee, status=500,latency:134296
method=POST, uri=/api/employee, status=500,latency:43430
method=POST, uri=/api/employee, status=500,latency:129559
method=POST, uri=/api/employee, status=500,latency:43863
method=POST, uri=/api/employee, status=200,latency:852205708
method=POST, uri=/api/employee, status=500,latency:124927
method=POST, uri=/api/employee, status=500,latency:1705605962
method=POST, uri=/api/employee, status=500,latency:377941995
method=POST, uri=/api/employee, status=200,latency:839108165
method=POST, uri=/api/employee, status=200,latency:928582169
method=POST, uri=/api/employee, status=200,latency:938078206
method=POST, uri=/api/employee, status=500,latency:184177
method=POST, uri=/api/employee, status=200,latency:1114788399
method=POST, uri=/api/employee, status=200,latency:301399606
method=POST, uri=/api/employee, status=500,latency:52457
method=POST, uri=/api/employee, status=200,latency:311612312
method=POST, uri=/api/employee, status=200,latency:939321870
method=POST, uri=/api/employee, status=500,latency:742830938
method=POST, uri=/api/employee, status=500,latency:738459056
method=POST, uri=/api/employee, status=500,latency:66330
method=POST, uri=/api/employee, status=500,latency:95549197
method=POST, uri=/api/employee, status=500,latency:98504815
method=POST, uri=/api/employee, status=500,latency:3217514616
method=POST, uri=/api/employee, status=500,latency:96481895
method=POST, uri=/api/employee, status=500,latency:102174698
method=POST, uri=/api/employee, status=500,latency:97544155
method=POST, uri=/api/employee, status=500,latency:49387
method=POST, uri=/api/employee, status=500,latency:98704337
method=POST, uri=/api/employee, status=500,latency:729586260
method=POST, uri=/api/employee, status=500,latency:126032
method=POST, uri=/api/employee, status=200,latency:1127793212
method=POST, uri=/api/employee, status=500,latency:740275539
method=POST, uri=/api/employee, status=500,latency:54530
method=POST, uri=/api/employee, status=500,latency:97165987
method=POST, uri=/api/employee, status=500,latency:103070703
method=POST, uri=/api/employee, status=500,latency:95616201
method=POST, uri=/api/employee, status=500,latency:98690196
method=POST, uri=/api/employee, status=500,latency:801266782
method=POST, uri=/api/employee, status=500,latency:49422
method=POST, uri=/api/employee, status=200,latency:317981617
method=POST, uri=/api/employee, status=500,latency:94922666
method=POST, uri=/api/employee, status=500,latency:69269
method=POST, uri=/api/employee, status=500,latency:113737922
method=POST, uri=/api/employee, status=500,latency:758512960
method=POST, uri=/api/employee, status=500,latency:95818088
method=POST, uri=/api/employee, status=500,latency:55907
method=POST, uri=/api/employee, status=200,latency:329703651
method=POST, uri=/api/employee, status=200,latency:2290616560
method=POST, uri=/api/employee, status=500,latency:91881
method=POST, uri=/api/employee, status=500,latency:210050572
method=POST, uri=/api/employee, status=200,latency:579354568
method=POST, uri=/api/employee, status=200,latency:938439584
method=POST, uri=/api/employee, status=500,latency:68212
method=POST, uri=/api/employee, status=500,latency:94851818
method=POST, uri=/api/employee, status=200,latency:821166698
method=GET, uri=/api/employee?Id=5ed0410054acdadc52917525, status=200,latency:899560979
method=POST, uri=/api/employee/prueba, status=200,latency:88179
method=GET, uri=/api/employee?Id=5ed0410054acdadc52917525, status=500,latency:876083160
method=GET, uri=/api/employee?Id=5ed0462e381cd9ecf7efc6f4, status=200,latency:97510395
method=POST, uri=/api/employee/prueba, status=200,latency:52077
method=POST, uri=/api/employee/prueba, status=403,latency:108083
method=POST, uri=/api/employee/prueba, status=403,latency:81432
method=POST, uri=/api/employee/prueba, status=500,latency:128375
method=POST, uri=/api/employee/prueba, status=200,latency:722060252
method=POST, uri=/api/employee/prueba, status=500,latency:733809357
method=POST, uri=/api/employee/prueba, status=200,latency:745954702
method=POST, uri=/api/employee/prueba, status=500,latency:117902
method=POST, uri=/api/employee/prueba, status=200,latency:1331379411
method=POST, uri=/api/employee/prueba, status=200,latency:741293635
method=POST, uri=/api/employee/prueba, status=200,latency:735109478
method=POST, uri=/api/employee/prueba, status=200,latency:748975776
method=PUT, uri=/api/employee?employeeId=5ed0462e381cd9ecf7efc6f4, status=200,latency:839475955
method=PUT, uri=/api/employee?employeeId=5ed0462e381cd9ecf7efc6f4, status=200,latency:196680824
method=PUT, uri=/api/employee?employeeId=5ed0462e381cd9ecf7efc6f4, status=200,latency:202117211
method=PUT, uri=/api/employee?employeeId=5ed0462e381cd9ecf7efc6f4, status=200,latency:207653020
method=PUT, uri=/api/employee?employeeId=5ed0462e381cd9ecf7efc6f4, status=200,latency:202555495
