method=POST, uri=/api/location, status=500,latency:135483
method=POST, uri=/api/location, status=500,latency:28457
method=POST, uri=/api/location, status=500,latency:57799
method=POST, uri=/api/location, status=500,latency:116940
method=POST, uri=/api/location, status=500,latency:28216
method=POST, uri=/api/location, status=500,latency:77672
method=POST, uri=/api/location, status=500,latency:28420
method=POST, uri=/api/location, status=500,latency:37057
method=POST, uri=/api/location, status=500,latency:54387
method=GET, uri=/api/location, status=500,latency:27248
method=POST, uri=/api/location, status=500,latency:28386
method=POST, uri=/api/location, status=500,latency:28409
method=POST, uri=/api/location, status=500,latency:40178
method=POST, uri=/api/location, status=200,latency:847397455
method=POST, uri=/api/location, status=200,latency:210749551
method=GET, uri=/api/location?Id=5ecd8ea5b4117f07a32d8883, status=200,latency:98233044
method=GET, uri=/api/location?Id=5ecd8dd1b4117f07a32d8882, status=200,latency:110650768
method=GET, uri=/api/location/total, status=400,latency:125276
method=GET, uri=/api/location/total, status=400,latency:98049
method=GET, uri=/api/location/total, status=200,latency:199485932
method=GET, uri=/api/location/total, status=200,latency:191588347
method=GET, uri=/api/location/total, status=200,latency:196787805
method=POST, uri=/api/location, status=200,latency:865601469
method=POST, uri=/api/location, status=200,latency:714325759
method=POST, uri=/api/location, status=200,latency:99407801
method=POST, uri=/api/location, status=200,latency:101806993
method=POST, uri=/api/location, status=200,latency:100001761
method=POST, uri=/api/location, status=500,latency:64926
method=POST, uri=/api/location, status=200,latency:791614635
method=POST, uri=/api/location, status=200,latency:108426064
method=POST, uri=/api/location, status=500,latency:143933
method=POST, uri=/api/location, status=500,latency:80285
method=POST, uri=/api/location, status=500,latency:111442
method=POST, uri=/api/location, status=200,latency:882345563
method=POST, uri=/api/location, status=200,latency:1106111038
method=POST, uri=/api/location, status=200,latency:208176058
method=POST, uri=/api/location, status=500,latency:54268
method=POST, uri=/api/location, status=500,latency:38996
method=POST, uri=/api/location, status=200,latency:200799483
method=POST, uri=/api/location, status=200,latency:195972849
method=POST, uri=/api/location, status=200,latency:198578523
method=POST, uri=/api/location, status=500,latency:701799335
method=POST, uri=/api/location, status=500,latency:126500479
method=POST, uri=/api/location, status=500,latency:96225989
method=POST, uri=/api/location, status=200,latency:218713525
method=POST, uri=/api/location, status=500,latency:124737013
